,Days,5 Minute TimeStamp (Unix),5 Minute TimeStamp (Excel Reading),Sensor Value (Average of last 5),,Boris Bike TimeStamp (Unix),Boris Bike TimeStamp (Excel Readable),Number of Boris Bikes Available,
,,,,Lux Value,Normalized,,,Boris Bike Value,Normalized 
02/01/2020,02/01/2020,43832.00278,00:04:00,0,-0.44924552,,,,-1.591891177
,,43832.00625,00:09:00,0,-0.44924552,,,,-1.591891177
,,43832.00972,00:14:00,0,-0.44924552,,,,-1.591891177
,,43832.01319,00:19:00,0,-0.44924552,,,,-1.591891177
,,43832.01667,00:24:00,0,-0.44924552,,,,-1.591891177
,,43832.02014,00:29:00,0,-0.44924552,,,,-1.591891177
,,43832.02361,00:34:00,0,-0.44924552,,,,-1.591891177
,,43832.02708,00:39:00,0,-0.44924552,,,,-1.591891177
,,43832.03056,00:44:00,0,-0.44924552,,,,-1.591891177
,,43832.03403,00:49:00,0,-0.44924552,,,,-1.591891177
,,43832.0375,00:54:00,0,-0.44924552,,,,-1.591891177
,,43832.04097,00:59:00,0,-0.44924552,,,,-1.591891177
,,43832.04444,01:04:00,0,-0.44924552,,,,-1.591891177
,,43832.04792,01:09:00,0,-0.44924552,,,,-1.591891177
,,43832.05139,01:14:00,0,-0.44924552,,,,-1.591891177
,,43832.05486,01:19:00,0,-0.44924552,,,,-1.591891177
,,43832.05833,01:24:00,0,-0.44924552,,,,-1.591891177
,,43832.06181,01:29:00,0,-0.44924552,,,,-1.591891177
,,43832.06528,01:34:00,0,-0.44924552,,,,-1.591891177
,,43832.06875,01:39:00,0,-0.44924552,,,,-1.591891177
,,43832.07222,01:44:00,0,-0.44924552,,,,-1.591891177
,,43832.07569,01:49:00,0,-0.44924552,,,,-1.591891177
,,43832.07917,01:54:00,0,-0.44924552,,,,-1.591891177
,,43832.08264,01:59:00,0,-0.44924552,,,,-1.591891177
,,43832.08611,02:04:00,0,-0.44924552,,,,-1.591891177
,,43832.08958,02:09:00,0,-0.44924552,,,,-1.591891177
,,43832.09306,02:14:00,0,-0.44924552,,,,-1.591891177
,,43832.09653,02:19:00,0,-0.44924552,,,,-1.591891177
,,43832.1,02:24:00,0,-0.44924552,,,,-1.591891177
,,43832.10347,02:29:00,0,-0.44924552,,,,-1.591891177
,,43832.10694,02:34:00,0,-0.44924552,,,,-1.591891177
,,43832.11042,02:39:00,0,-0.44924552,,,,-1.591891177
,,43832.11389,02:44:00,0,-0.44924552,,,,-1.591891177
,,43832.11736,02:49:00,0,-0.44924552,,,,-1.591891177
,,43832.12083,02:54:00,0,-0.44924552,,,,-1.591891177
,,43832.12431,02:59:00,0,-0.44924552,,,,-1.591891177
,,43832.12778,03:04:00,0,-0.44924552,,,,-1.591891177
,,43832.13125,03:09:00,0,-0.44924552,,,,-1.591891177
,,43832.13472,03:14:00,0,-0.44924552,,,,-1.591891177
,,43832.13819,03:19:00,0,-0.44924552,,,,-1.591891177
,,43832.14167,03:24:00,0,-0.44924552,,,,-1.591891177
,,43832.14514,03:29:00,0,-0.44924552,,,,-1.591891177
,,43832.14861,03:34:00,0,-0.44924552,,,,-1.591891177
,,43832.15208,03:39:00,0,-0.44924552,,,,-1.591891177
,,43832.15556,03:44:00,0,-0.44924552,,,,-1.591891177
,,43832.15903,03:49:00,0,-0.44924552,,,,-1.591891177
,,43832.1625,03:54:00,0,-0.44924552,,,,-1.591891177
,,43832.16597,03:59:00,0,-0.44924552,,,,-1.591891177
,,43832.16944,04:04:00,0,-0.44924552,,,,-1.591891177
,,43832.17292,04:09:00,0,-0.44924552,,,,-1.591891177
,,43832.17639,04:14:00,0,-0.44924552,,,,-1.591891177
,,43832.17986,04:19:00,0,-0.44924552,,,,-1.591891177
,,43832.18333,04:24:00,0,-0.44924552,,,,-1.591891177
,,43832.18681,04:29:00,0,-0.44924552,,,,-1.591891177
,,43832.19028,04:34:00,0,-0.44924552,,,,-1.591891177
,,43832.19375,04:39:00,0,-0.44924552,,,,-1.591891177
,,43832.19722,04:44:00,0,-0.44924552,,,,-1.591891177
,,43832.20069,04:49:00,0,-0.44924552,,,,-1.591891177
,,43832.20417,04:54:00,0,-0.44924552,,,,-1.591891177
,,43832.20764,04:59:00,0,-0.44924552,,,,-1.591891177
,,43832.21111,05:04:00,0,-0.44924552,,,,-1.591891177
,,43832.21458,05:09:00,0,-0.44924552,,,,-1.591891177
,,43832.21806,05:14:00,0,-0.44924552,,,,-1.591891177
,,43832.22153,05:19:00,0,-0.44924552,,,,-1.591891177
,,43832.225,05:24:00,0,-0.44924552,,,,-1.591891177
,,43832.22847,05:29:00,0,-0.44924552,,,,-1.591891177
,,43832.23194,05:34:00,0,-0.44924552,,,,-1.591891177
,,43832.23542,05:39:00,0,-0.44924552,,,,-1.591891177
,,43832.23889,05:44:00,0,-0.44924552,,,,-1.591891177
,,43832.24236,05:49:00,0,-0.44924552,,,,-1.591891177
,,43832.24583,05:54:00,0,-0.44924552,,,,-1.591891177
,,43832.24931,05:59:00,0,-0.44924552,,,,-1.591891177
,,43832.25278,06:04:00,0,-0.44924552,,,,-1.591891177
,,43832.25625,06:09:00,0,-0.44924552,,,,-1.591891177
,,43832.25972,06:14:00,0,-0.44924552,,,,-1.591891177
,,43832.26319,06:19:00,0,-0.44924552,,,,-1.591891177
,,43832.26667,06:24:00,0,-0.44924552,,,,-1.591891177
,,43832.27014,06:29:00,0,-0.44924552,,,,-1.591891177
,,43832.27361,06:34:00,0,-0.44924552,,,,-1.591891177
,,43832.27708,06:39:00,0,-0.44924552,,,,-1.591891177
,,43832.28056,06:44:00,0,-0.44924552,,,,-1.591891177
,,43832.28403,06:49:00,0,-0.44924552,,,,-1.591891177
,,43832.2875,06:54:00,0,-0.44924552,,,,-1.591891177
,,43832.29097,06:59:00,0,-0.44924552,,,,-1.591891177
,,43832.29444,07:04:00,0,-0.44924552,,,,-1.591891177
,,43832.29792,07:09:00,0,-0.44924552,,,,-1.591891177
,,43832.30139,07:14:00,0,-0.44924552,,,,-1.591891177
,,43832.30486,07:19:00,0,-0.44924552,,,,-1.591891177
,,43832.30833,07:24:00,0,-0.44924552,,,,-1.591891177
,,43832.31181,07:29:00,0,-0.44924552,,,,-1.591891177
,,43832.31528,07:34:00,0,-0.44924552,,,,-1.591891177
,,43832.31875,07:39:00,0,-0.44924552,,,,-1.591891177
,,43832.32222,07:44:00,0,-0.44924552,,,,-1.591891177
,,43832.32569,07:49:00,0.2,-0.44914127,,,,-1.591891177
,,43832.32917,07:54:00,1.4,-0.448515768,,,,-1.591891177
,,43832.33264,07:59:00,3.2,-0.447577516,,,,-1.591891177
,,43832.33611,08:04:00,6.2,-0.446013762,,,,-1.591891177
,,43832.33958,08:09:00,12.2,-0.442886253,,,,-1.591891177
,,43832.34306,08:14:00,26,-0.435692984,,,,-1.591891177
,,43832.34653,08:19:00,51.8,-0.422244698,,,,-1.591891177
,,43832.35,08:24:00,89.2,-0.402749896,,,,-1.591891177
,,43832.35347,08:29:00,120.6,-0.386382603,,,,-1.591891177
,,43832.35694,08:34:00,186.4,-0.352084261,,,,-1.591891177
